Book Title,Course,Branch,Rating,Published Date,Description
Operating System Concepts,Operating Systems,Computer Science and Engineering (CSE),4.05,2019-12-13,"This book covers fundamental concepts of modern operating systems, process management, and more."
Modern Operating Systems,Operating Systems,Computer Science and Engineering (CSE),3.84,2022-01-11,"This book covers fundamental concepts of modern operating systems, process management, and more."
Operating Systems: Internals and Design Principles,Operating Systems,Computer Science and Engineering (CSE),4.29,2020-07-25,"This book covers fundamental concepts of modern operating systems, process management, and more."
Database System Concepts,Databases,Computer Science and Engineering (CSE),4.2,2017-06-10,"A comprehensive guide to databases, covering relational models, SQL, and database system architectures."
Introduction to Databases,Databases,Computer Science and Engineering (CSE),3.88,2020-02-21,"A comprehensive guide to databases, covering relational models, SQL, and database system architectures."
Fundamentals of Database Systems,Databases,Computer Science and Engineering (CSE),3.91,2019-08-04,"A comprehensive guide to databases, covering relational models, SQL, and database system architectures."
The C Programming Language,Programming Languages,Computer Science and Engineering (CSE),3.76,2014-07-30,"An in-depth resource on programming languages, covering syntax, semantics, and practical applications."
Learning Python,Programming Languages,Computer Science and Engineering (CSE),4.22,2014-08-24,"An in-depth resource on programming languages, covering syntax, semantics, and practical applications."
Java: The Complete Reference,Programming Languages,Computer Science and Engineering (CSE),3.56,2021-02-25,"An in-depth resource on programming languages, covering syntax, semantics, and practical applications."
Effective Java,Programming Languages,Computer Science and Engineering (CSE),4.25,2022-05-20,"An in-depth resource on programming languages, covering syntax, semantics, and practical applications."
Data Structures and Algorithms in Java,Data Structures,Computer Science and Engineering (CSE),4.22,2022-09-18,"Detailed guide on data structures and algorithms, essential for efficient problem-solving."
Data Structures Using C,Data Structures,Computer Science and Engineering (CSE),3.87,2021-11-04,"Detailed guide on data structures and algorithms, essential for efficient problem-solving."
Data Structures and Algorithm Analysis,Data Structures,Computer Science and Engineering (CSE),4.8,2020-05-01,"Detailed guide on data structures and algorithms, essential for efficient problem-solving."
Computer Networking: A Top-Down Approach,Computer Networks,Computer Science and Engineering (CSE),3.97,2014-10-21,"Explores networking principles, protocols, and communication models for modern systems."
Data and Computer Communications,Computer Networks,Computer Science and Engineering (CSE),4.53,2015-08-19,"Explores networking principles, protocols, and communication models for modern systems."
Network Security Essentials,Computer Networks,Computer Science and Engineering (CSE),4.33,2022-07-14,"Explores networking principles, protocols, and communication models for modern systems."
